id,material_class,sheet_title,table_heading,table_subheading,product_code,material,qty_basis,a1_a3_CO2,a1_a3_energy_total,a1_a3_energy_non_renewable,a1_a3_energy_renewable,notes,data_quality,density,area_density,linear_density,mass_per_unit
258,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_5_2_2_2_1,"Reinforced concrete, 35 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (25% GGBS)",kg,0.28,3.04,2.76,0.28,"ci3, ci9",F,2489.17,0,0,0
259,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_5_2_2_2_2,"Reinforced concrete, 35 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (50% GGBS)",kg,0.25,2.99,2.71,0.28,"ci3, ci9",F,2489.17,0,0,0
260,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_5_2_2_2_3,"Reinforced concrete, 35 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (75% GGBS)",kg,0.23,2.95,2.67,0.28,"ci3, ci9",F,2489.17,0,0,0
261,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_5_2_2_3_1,"Reinforced concrete, 35 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (20% PFA)",kg,0.28,3,2.72,0.28,"ci3, ci11",F,2489.17,0,0,0
262,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_5_2_2_3_2,"Reinforced concrete, 35 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (35% PFA)",kg,0.26,2.94,2.66,0.28,"ci3, ci11",F,2489.17,0,0,0
263,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_5_2_3_1,"Reinforced concrete, 35 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (OPC)",kg,0.38,4.17,3.77,0.39,"ci3, ci10",F,2523.76,0,0,0
264,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_5_2_3_2_1,"Reinforced concrete, 35 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (25% GGBS)",kg,0.36,4.12,3.73,0.39,"ci3, ci9",F,2523.76,0,0,0
265,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_5_2_3_2_2,"Reinforced concrete, 35 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (50% GGBS)",kg,0.33,4.07,3.68,0.39,"ci3, ci9",F,2523.76,0,0,0
266,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_5_2_3_2_3,"Reinforced concrete, 35 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (75% GGBS)",kg,0.3,4.03,3.64,0.39,"ci3, ci9",F,2523.76,0,0,0
267,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_5_2_3_3_1,"Reinforced concrete, 35 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (20% PFA)",kg,0.36,4.09,3.7,0.39,"ci3, ci11",F,2523.76,0,0,0
268,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_5_2_3_3_2,"Reinforced concrete, 35 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (35% PFA)",kg,0.34,4.02,3.64,0.39,"ci3, ci11",F,2523.76,0,0,0
269,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_5_2_4_1,"Reinforced concrete, 35 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (OPC)",kg,0.45,5.22,4.72,0.5,"ci3, ci10",F,2558.34,0,0,0
270,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_5_2_4_2_1,"Reinforced concrete, 35 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (25% GGBS)",kg,0.43,5.17,4.67,0.5,"ci3, ci9",F,2558.34,0,0,0
271,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_5_2_4_2_2,"Reinforced concrete, 35 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (50% GGBS)",kg,0.4,5.13,4.63,0.5,"ci3, ci9",F,2558.34,0,0,0
272,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_5_2_4_2_3,"Reinforced concrete, 35 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (75% GGBS)",kg,0.38,5.09,4.59,0.5,"ci3, ci9",F,2558.34,0,0,0
273,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_5_2_4_3_1,"Reinforced concrete, 35 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (20% PFA)",kg,0.43,5.14,4.64,0.5,"ci3, ci11",F,2558.34,0,0,0
274,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_5_2_4_3_2,"Reinforced concrete, 35 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (35% PFA)",kg,0.41,5.08,4.58,0.49,"ci3, ci11",F,2558.34,0,0,0
275,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_6_4_1_1_1,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Auckland)",kg,0.16,0.76,0.71,0.05,"ci1, ci10-",A,2420,0,0,0
276,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_6_4_1_1_2,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Wellington)",kg,0.15,0.61,0.57,0.04,"ci1, ci10-",A,2420,0,0,0
277,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_6_4_1_1_3,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Christchurch)",kg,0.14,0.59,0.55,0.04,"ci1, ci10-",A,2420,0,0,0
278,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_6_4_1_2,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (North Island, average)",kg,0.16,0.73,0.68,0.05,"ci4, ci10-",A,2420,0,0,0
279,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_6_4_1_3,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (South Island, average)",kg,0.15,0.66,0.62,0.04,"ci4, ci10-",A,2420,0,0,0
280,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_1_1_1,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Firth) (Auckland)",kg,0.13,0.79,0.16,0.63,"ci2, ci10-",A,2419,0,0,0
281,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_1_1_2,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Firth) (Wellington)",kg,0.13,0.77,0.15,0.62,"ci2, ci10-",A,2362,0,0,0
282,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_1_1_3,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Firth) (Christchurch)",kg,0.11,0.78,0.16,0.62,"ci2, ci10-",A,2408.73,0,0,0
283,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_1_2_1,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Firth) (North Island, made with cement from Golden Bay Cement, average)",kg,0.13,0.8,0.16,0.64,"ci2, ci10-",A,2406,0,0,0
284,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_1_3_1,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Golden Bay Cement, average)",kg,0.12,0.79,0.15,0.64,"ci2, ci10-",A,2416,0,0,0
285,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_1_3_2,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Holcim NZ, average)",kg,0.14,0.58,0.05,0.53,"ci2, ci10-",A,2420,0,0,0
286,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_2_1_1,"Concrete, 40 MPa, in-situ, no reinforcement, (EC20) (Firth) (Auckland)",kg,0.13,0.82,0.16,0.66,"-ci5, ci6",A,2419,0,0,0
287,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_2_1_2,"Concrete, 40 MPa, in-situ, no reinforcement, (EC20) (Firth) (Wellington)",kg,0.14,0.91,0.18,0.73,"ci5, ci6-",A,2362,0,0,0
288,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_2_1_3,"Concrete, 40 MPa, in-situ, no reinforcement, (EC20) (Firth) (Christchurch)",kg,0.12,0.83,0.16,0.67,"ci5, ci6-",A,2408.73,0,0,0
289,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_2_2,"Concrete, 40 MPa, in-situ, no reinforcement, (EC20) (Firth) (NZ, average)",kg,0.13,0.83,0.16,0.67,"ci5, ci6-",A,2410.22,0,0,0
290,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_3_1_1,"Concrete, 40 MPa, in-situ, no reinforcement, (EC30) (Firth) (Auckland)",kg,0.13,0.82,0.16,0.66,"ci5, ci7-",A,2419,0,0,0
291,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_3_1_2,"Concrete, 40 MPa, in-situ, no reinforcement, (EC30) (Firth) (Wellington)",kg,0.13,0.88,0.17,0.71,"ci5, ci7-",A,2344.51,0,0,0
292,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_3_1_3,"Concrete, 40 MPa, in-situ, no reinforcement, (EC30) (Firth) (Christchurch)",kg,0.12,0.83,0.16,0.67,"ci5, ci7-",A,2408.73,0,0,0
293,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_3_2,"Concrete, 40 MPa, in-situ, no reinforcement, (EC30) (Firth) (NZ, average)",kg,0.13,0.83,0.16,0.67,"ci5, ci7-",A,2408.47,0,0,0
294,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_4_1_1,"Concrete, 40 MPa, in-situ, no reinforcement, (EC40) (Firth) (Auckland)",kg,0.11,0.77,0.14,0.63,"ci5, ci8-",A,2375.76,0,0,0
295,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_4_1_2,"Concrete, 40 MPa, in-situ, no reinforcement, (EC40) (Firth) (Wellington)",kg,0.11,0.81,0.15,0.66,"ci5, ci8-",A,2308.17,0,0,0
296,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_4_1_3,"Concrete, 40 MPa, in-situ, no reinforcement, (EC40) (Firth) (Christchurch)",kg,0.11,0.79,0.15,0.64,"-ci5, ci8-",A,2386.11,0,0,0
297,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_6_5_4_2,"Concrete, 40 MPa, in-situ, no reinforcement, (EC40) (Firth) (NZ, average)",kg,0.11,0.78,0.15,0.63,"-ci5, ci8-",A,2372.11,0,0,0
298,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - generic",,PR_20_31_16_6_1_1_1,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC)",kg,0.17,0.94,0.88,0.06,"ci3, ci10",F,2420,0,0,0
299,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - generic",,PR_20_31_16_6_1_1_2_1,"Concrete, 40 MPa, in-situ, no reinforcement, (25% GGBS)",kg,0.14,0.89,0.83,0.06,"ci3, ci9",F,2420,0,0,0
300,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - generic",,PR_20_31_16_6_1_1_2_2,"Concrete, 40 MPa, in-situ, no reinforcement, (50% GGBS)",kg,0.11,0.83,0.78,0.05,"ci3, ci9",F,2420,0,0,0
301,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - generic",,PR_20_31_16_6_1_1_2_3,"Concrete, 40 MPa, in-situ, no reinforcement, (75% GGBS)",kg,0.08,0.78,0.73,0.05,"ci3, ci9",F,2420,0,0,0
302,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - generic",,PR_20_31_16_6_1_1_3_1,"Concrete, 40 MPa, in-situ, no reinforcement, (20% PFA)",kg,0.14,0.84,0.79,0.05,"ci3, ci11",F,2420,0,0,0
303,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - generic",,PR_20_31_16_6_1_1_3_2,"Concrete, 40 MPa, in-situ, no reinforcement, (35% PFA)",kg,0.12,0.77,0.72,0.05,"ci3, ci11",F,2420,0,0,0
304,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_6_2_1_1,"Reinforced concrete, 40 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (OPC)",kg,0.25,2.08,1.91,0.18,"ci3, ci10",F,2454.59,0,0,0
305,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_6_2_1_2_1,"Reinforced concrete, 40 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (25% GGBS)",kg,0.22,2.03,1.86,0.17,"ci3, ci9",F,2454.59,0,0,0
306,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_6_2_1_2_2,"Reinforced concrete, 40 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (50% GGBS)",kg,0.19,1.98,1.81,0.17,"ci3, ci9",F,2454.59,0,0,0
307,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_6_2_1_2_3,"Reinforced concrete, 40 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (75% GGBS)",kg,0.16,1.92,1.75,0.17,"ci3, ci9",F,2454.59,0,0,0
308,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_6_2_1_3_1,"Reinforced concrete, 40 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (20% PFA)",kg,0.22,1.99,1.82,0.17,"ci3, ci11",F,2454.59,0,0,0
309,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",50 kg/m- steel reinforcing,PR_20_31_16_6_2_1_3_2,"Reinforced concrete, 40 MPa, in-situ, inc. 50 kg/m- steel reinforcing, (35% PFA)",kg,0.2,1.92,1.75,0.17,"ci3, ci11",F,2454.59,0,0,0
310,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_6_2_2_1,"Reinforced concrete, 40 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (OPC)",kg,0.33,3.19,2.9,0.29,"ci3, ci10",F,2489.17,0,0,0
311,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_6_2_2_2_1,"Reinforced concrete, 40 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (25% GGBS)",kg,0.3,3.14,2.85,0.29,"ci3, ci9",F,2489.17,0,0,0
312,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_6_2_2_2_2,"Reinforced concrete, 40 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (50% GGBS)",kg,0.27,3.09,2.81,0.28,"ci3, ci9",F,2489.17,0,0,0
313,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_6_2_2_2_3,"Reinforced concrete, 40 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (75% GGBS)",kg,0.24,3.04,2.75,0.28,"ci3, ci9",F,2489.17,0,0,0
314,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_6_2_2_3_1,"Reinforced concrete, 40 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (20% PFA)",kg,0.3,3.1,2.81,0.28,"ci3, ci11",F,2489.17,0,0,0
315,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",100 kg/m- steel reinforcing,PR_20_31_16_6_2_2_3_2,"Reinforced concrete, 40 MPa, in-situ, inc. 100 kg/m- steel reinforcing, (35% PFA)",kg,0.28,3.03,2.75,0.28,"ci3, ci11",F,2489.17,0,0,0
316,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_6_2_3_1,"Reinforced concrete, 40 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (OPC)",kg,0.4,4.27,3.87,0.4,"ci3, ci10",F,2523.76,0,0,0
317,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_6_2_3_2_1,"Reinforced concrete, 40 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (25% GGBS)",kg,0.37,4.22,3.82,0.4,"ci3, ci9",F,2523.76,0,0,0
318,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_6_2_3_2_2,"Reinforced concrete, 40 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (50% GGBS)",kg,0.34,4.17,3.78,0.39,"ci3, ci9",F,2523.76,0,0,0
319,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_6_2_3_2_3,"Reinforced concrete, 40 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (75% GGBS)",kg,0.31,4.12,3.72,0.39,"ci3, ci9",F,2523.76,0,0,0
320,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_6_2_3_3_1,"Reinforced concrete, 40 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (20% PFA)",kg,0.38,4.18,3.78,0.39,"ci3, ci11",F,2523.76,0,0,0
321,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",150 kg/m- steel reinforcing,PR_20_31_16_6_2_3_3_2,"Reinforced concrete, 40 MPa, in-situ, inc. 150 kg/m- steel reinforcing, (35% PFA)",kg,0.36,4.11,3.72,0.39,"ci3, ci11",F,2523.76,0,0,0
322,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_6_2_4_1,"Reinforced concrete, 40 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (OPC)",kg,0.47,5.32,4.81,0.51,"ci3, ci10",F,2558.34,0,0,0
323,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_6_2_4_2_1,"Reinforced concrete, 40 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (25% GGBS)",kg,0.45,5.27,4.77,0.5,"ci3, ci9",F,2558.34,0,0,0
324,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_6_2_4_2_2,"Reinforced concrete, 40 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (50% GGBS)",kg,0.42,5.22,4.72,0.5,"ci3, ci9",F,2558.34,0,0,0
325,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_6_2_4_2_3,"Reinforced concrete, 40 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (75% GGBS)",kg,0.39,5.17,4.67,0.5,"ci3, ci9",F,2558.34,0,0,0
326,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_6_2_4_3_1,"Reinforced concrete, 40 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (20% PFA)",kg,0.45,5.23,4.73,0.5,"ci3, ci11",F,2558.34,0,0,0
327,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, with reinforcement - generic",200 kg/m- steel reinforcing,PR_20_31_16_6_2_4_3_2,"Reinforced concrete, 40 MPa, in-situ, inc. 200 kg/m- steel reinforcing, (35% PFA)",kg,0.43,5.16,4.67,0.5,"ci3, ci11",F,2558.34,0,0,0
328,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_7_4_1_1_1,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Auckland)",kg,0.18,0.8,0.76,0.05,"ci1, ci10-",A,2430,0,0,0
329,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_7_4_1_1_2,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Wellington)",kg,0.17,0.66,0.62,0.04,"ci1, ci10-",A,2430,0,0,0
330,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_7_4_1_1_3,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Christchurch)",kg,0.16,0.64,0.6,0.04,"ci1, ci10-",A,2430,0,0,0
331,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_7_4_1_2,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (North Island, average)",kg,0.18,0.8,0.75,0.05,"ci4, ci10-",A,2430,0,0,0
332,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_7_4_1_3,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (South Island, average)",kg,0.17,0.8,0.72,0.07,"ci4, ci10-",A,2430,0,0,0
333,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_1_1_1,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Firth) (Auckland)",kg,0.13,0.8,0.16,0.64,"ci2, ci10-",A,2413,0,0,0
334,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_1_1_2,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Firth) (Wellington)",kg,0.13,0.82,0.16,0.67,"ci2, ci10-",A,2360,0,0,0
335,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_1_1_3,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Firth) (Christchurch)",kg,0.13,0.84,0.17,0.67,"ci2, ci10-",A,2407,0,0,0
336,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_1_2_1,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Firth) (North Island, made with cement from Golden Bay Cement, average)",kg,0.14,0.88,0.17,0.71,"ci2, ci10-",A,2452,0,0,0
337,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_1_3_1,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Golden Bay Cement, average)",kg,0.13,0.87,0.17,0.7,"ci2, ci10-",A,2422,0,0,0
338,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_1_3_2,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Firth) (South Island, made with cement from Holcim NZ, average)",kg,0.15,0.61,0.05,0.55,"ci2, ci10-",A,2423,0,0,0
339,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_2_1_1,"Concrete, 45 MPa, in-situ, no reinforcement, (EC20) (Firth) (Auckland)",kg,0.14,0.9,0.17,0.73,"-ci5, ci6",A,2413,0,0,0
340,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_2_1_2,"Concrete, 45 MPa, in-situ, no reinforcement, (EC20) (Firth) (Wellington)",kg,0.16,1.04,0.2,0.84,"ci5, ci6-",A,2360,0,0,0
341,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_2_1_3,"Concrete, 45 MPa, in-situ, no reinforcement, (EC20) (Firth) (Christchurch)",kg,0.14,0.91,0.18,0.73,"ci5, ci6-",A,2407,0,0,0
342,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_2_2,"Concrete, 45 MPa, in-situ, no reinforcement, (EC20) (Firth) (NZ, average)",kg,0.14,0.92,0.18,0.74,"ci5, ci6-",A,2405.9,0,0,0
343,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_3_1_1,"Concrete, 45 MPa, in-situ, no reinforcement, (EC30) (Firth) (Auckland)",kg,0.14,0.9,0.17,0.73,"ci5, ci7-",A,2413,0,0,0
344,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_3_1_2,"Concrete, 45 MPa, in-situ, no reinforcement, (EC30) (Firth) (Wellington)",kg,0.15,0.98,0.18,0.8,"ci5, ci7-",A,2329.33,0,0,0
345,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_3_1_3,"Concrete, 45 MPa, in-situ, no reinforcement, (EC30) (Firth) (Christchurch)",kg,0.14,0.91,0.18,0.73,"ci5, ci7-",A,2407,0,0,0
346,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Firth",,PR_20_31_16_7_5_3_2,"Concrete, 45 MPa, in-situ, no reinforcement, (EC30) (Firth) (NZ, average)",kg,0.14,0.91,0.17,0.74,"ci5, ci7-",A,2402.83,0,0,0
